impression	|впечатление,представление [ɪm'preʃ(ə)n]
compulsory	|принудительный,насильственный,обязательный [kəm'pʌls(ə)rɪ]
crowd		|С.толпа,группа людей!Г.давить,толкать [kraud]
appreciate	|оценивать,(высоко)ценить,быть благодарным!принимать во внимание [ə'priːʃɪeɪt]
bore		|сверлить!докучать,донимать!скучный человек,зануда [bɔː]
borrow		|занимать,брать на время!заимствовать ['bɔrəu]	
	borrowed	|заимствованный(adopted), одолженный(lent); занятый(employed), занимаемый (occupied)
discern		|разглядеть/отличать,различать,распозновать,понять[dɪ'sɜːn]
discern		|разглядеть,различить,понять,отличить [dɪ'sɜːn]
curiosity	|любознательность,любопытство,странность[ˌkjuərɪ'ɔsətɪ]
unfairly	|Н.несправедливо; недобросовестно; нечестно [ʌn'feəlɪ]
permute		|переставлять; менять порядок [pə'mjuːt]
sophisticated	|современный,передовой,высокой сложности [sə'fɪstɪkeɪtɪd]
persual		|внимательное чтение,прочтение[pə'ruːz(ə)l]
somewhat		|Н.что-то,кое-что!отчасти,до некоторой стпени,весьма['sʌmwɔt]
inevitable		|П.неизбезный!С.неизбежное [ɪ'nevɪtəbl]
tedious			|нудный, скучный, утомительный ['tiːdɪəs]
attain			|добиваться, достигать(о возрасте/времени)[ə'teɪn]
attaint			|стыд,позор!лишать имущ. и гражд. прав[ə'teɪnt]
fear			|С.страх,испуг,ужас!Г.бояться,предчувствовать(дурное) [fɪə] 
startle			|Г.испугать,сильно удивить!С.испуг,вздрагивание ['stɑːtl]
claim			|Г.требовать,заявлять,утверждать!С.требование,претензия [kleɪm]
meaningless		|П.бессмысленный
meaning			|С.значение(importance),смысл(sense),понятие(concept)!Прич.значащий(meaningful);обозначающий(denoting);смысловой(sense);['miːnɪŋ]
mean			|Г.значить, означать
means			|C.средство, способ
purpot			|С.смысл,содержание!суть,сущность!Г.ознчачать
blame			|Г.порицать,осуждать!С.осуждение,неодобрение [bleɪm]
coup			|неожиданный успех,удача,удачный заход [kuː] 
to know one is own mind	|познать свой собственный разум
resume			|возобновлять,продолжать!обретать вновь!подводить итоги [rɪ'zjuːm]
work out		|решать (задачв),тренероваться [wɜːk] [aut]
consequently	|следовательно,поэтому!в результате,вследствие ['kɔn(t)sɪkwəntlɪ]
therefore		|по этой причине!вследствие этого!поэтому,следовательно ['ðeəfɔː]
novice			|начанающий,новичок ['nɔvɪs]
complicate		|осложность,затруднять ['kɔmplɪkeɪt]
let`s get on into it|давай займемся этим
charm			|обояние,очарование [ʧɑːm]
harm 			|вред, ущерб, урон;Г.наносить ущерб, вредить, повредить
bumpy			|ухабистый, тряский (о дороге)['bʌmpɪ]
few				|П.мало,немного,несколько!С.незначительное число,немногие [fjuː]
hire			|нанимать, предоставлять работу, приглашать на работу!С.прокат['haɪə]
sightseeing		|осмотр достопримечательностей['saɪtˌsiːɪŋ]
sight			|зрение, поле зрения, видимость; Достопримечательность;Г.различить [saɪt]
argue			|спорить, препираться, ссориться['ɑːgjuː]
insulting		|оскорбительный, бранный; обидный[ɪn'sʌltɪŋ]
tip				|полезный совет, чаевые!Г.наклонять,склонять!слегка касаться [tɪp]
detriment		|ущерб, вред ['detrɪmənt]
pleasure		|удовольствие, наслождение ['pleʒə]
offer; proposal, proposition, suggestion|	предложение
	proposition		|утверждение,высказывание
joke			|шутка, смешной случай,анегдот [ʤəuk]
hike			|экскурсия,длительная прогулка[haɪk]
bleeding		|кровоточить ['bliːdɪŋ]
flight			|полет (рейс), преодолеваемое в полёте [flaɪt]
taxiing			|рулежка, руление
runway			|взелтно-посадочноая полоса [ˈrʌnweɪ]
luggage			|богаж [ˈlʌɡɪdʒ]
attendant		|обслуживающее лицо, служитель/сопутствующий [əˈtendənt]
temper			|характер, нрав/самообладание [ˈtempər]
march			|граница, предел; походное движение, марш [mɑːtʃ]
furiously		|бешенно, яростно/крайне, очень [ˈfjʊəriəs]
quit			|оставлять/покидать, уходить [kwɪt]
argue			|Г.ссориться [ˈɑːɡjuː]
fight			|драться [faɪt]
chase			|гнаться, преследовать [tʃeɪs]
thief			|вор [θiːf]
stall			|киоск, палатка; глохнуть [stɔːl]
chute			|крутой скат, корка, мусоропровод [ʃuːt]
refused			|отвергать [rɪˈfjuːz]
unpleasant		|неприятный, грубый[ʌnˈplezənt] rude and angry
district		|район. округ, участок [ˈdɪstrɪkt]
whether			|ли, который из 2х, любой из 2х [ˈweðər]
jewellery		|ювелирные изделия [ˈdʒuːəlri]
neighbour		|сосед [ˈneɪbər]
so				|так что; поэтому; следовательно; для того чтобы
upstairs		|вверх по лестнице,на верхнем этаже. выше (по должности) [ʌp'steəz]
essay			|С.испытания, опыт;Г.испытывать,подвеграть испытанию
madly			|Н. как сумашедший, как душевной больной; безумно, бешенно ['mædlɪ]
hurry			|С.суматоха, спешка;Г.торопить,подгонять ['hʌrɪ]
lucky			|счастливый, благоприятный, удачный ['lʌkɪ]
escapes			|избежать (опасности и т. п.), спастись; отделаться [ɪs'keɪp] , [es-]
nasty			|отвратительный,отталкивающий,мерзкий;неприличный,непристойный ['nɑːstɪ]
for ages		|for a long time
home improvement/renovation
seeing			|видение; способность или возможность видеть;так как, ввиду того, что; принимая во внимание, поскольку['siːɪŋ]
enormous		|огромный[ɪˈnɔːməs]
attraction		|привлекательность, достопримечательность, влечение[əˈtrækʃən]
complimentary	|it is free for you, you don't pay for it
talking to/with; calling to; phoning to
wheat bread		|пшеничный хлеб [(h)wiːt]
whole			|весь, целый,полный; все, целое [həul]
mayo			|майонез ['meɪəu]
looking for			|находясь в поиске
looking after		|присматривать за
looking forward to	|с нетерпением жду
my favourite holiday destination	|мое любимое место отдыха
wedding			|свадьба ['wedɪŋ]
journey			|поездка, путешествие ['ʤɜːnɪ]
doubt			|Г. сомневаться; С. сомнение, нерешительность [daʊt]  
to be certain	|не сомневаться  [ˈsɜːtən]
presume			|предполагать, полагать; допускать [prɪ'zjuːm]
assume			|допускать, предполагать [ə's(j)uːm]
guess			|полагать, считать,почти не сомневаться [ges]
stipulate		|условливаться, обуславливать,оговаривать,требовать ['stɪpjəleɪt]
spread			|увеличение,рост!размах,протяжение [spred]
disquiet|Г.беспокоить,нарушать;С.беспокойство;П.беспокойный
worry/disturb/bother|беспокоить [dɪˈstɜːb]/[ˈbɒðər]

slept a lot		|выспаться
regret			|сожалеть
gossip			|сплетни, слухи
to gossip		|сплетначить
It doesn`t harm	|Это не вредит
It isn`t harmful|Это не вредно
reasonably		|разумно
looking forward	|жду с нетерпением
must be			|должен быть/находиться/иметь
by the way		|между прочим(incidentally), кстати, к слову(for the word)
go away for the week	|уезжай на неделю
